band,setting_freq,setting_gain,setting_q,freq_hz,db
hpf,0,0,0,1201.85,-0.0000
hpf,0,0,0,1244.29,-0.0000
hpf,0,0,0,1288.23,-0.0000
hpf,0,0,0,1333.72,-0.0000
hpf,0,0,0,1380.82,-0.0000
hpf,0,0,0,1429.58,-0.0000
hpf,0,0,0,1480.06,-0.0000
hpf,0,0,0,1532.32,-0.0000
hpf,0,0,0,1586.43,-0.0000
hpf,0,0,0,1642.45,-0.0000
hpf,0,0,0,1700.45,-0.0000
hpf,0,0,0,1760.50,-0.0000
hpf,0,0,0,1822.67,-0.0000
hpf,0,0,0,1887.03,-0.0000
hpf,0,0,0,1953.66,-0.0000
hpf,0,0,0,2022.65,-0.0000
hpf,0,0,0,2094.08,-0.0000
hpf,0,0,0,2168.02,-0.0000
hpf,0,0,0,2244.58,-0.0000
hpf,0,0,0,2323.84,-0.0000
hpf,0,0,0,2405.90,-0.0000
hpf,0,0,0,2490.86,-0.0000
hpf,0,0,0,2578.82,-0.0000
hpf,0,0,0,2669.88,-0.0000
hpf,0,0,0,2764.16,-0.0000
hpf,0,0,0,2861.77,-0.0000
hpf,0,0,0,2962.83,-0.0000
hpf,0,0,0,3067.45,-0.0000
hpf,0,0,0,3175.77,-0.0000
hpf,0,0,0,3287.91,-0.0000
hpf,0,0,0,3404.02,-0.0000
hpf,0,0,0,3524.22,-0.0000
hpf,0,0,0,3648.67,-0.0000
hpf,0,0,0,3777.51,-0.0000
hpf,0,0,0,3910.91,-0.0000
hpf,0,0,0,4049.01,-0.0000
hpf,0,0,0,4191.99,-0.0000
hpf,0,0,0,4340.02,-0.0000
hpf,0,0,0,4493.28,-0.0000
hpf,0,0,0,4651.94,-0.0000
hpf,0,0,0,4816.21,-0.0000
hpf,0,0,0,4986.29,-0.0000
hpf,0,0,0,5162.36,-0.0000
hpf,0,0,0,5344.66,-0.0000
hpf,0,0,0,5533.39,-0.0000
hpf,0,0,0,5728.79,-0.0000
hpf,0,0,0,5931.08,-0.0000
hpf,0,0,0,6140.52,-0.0000
hpf,0,0,0,6357.36,-0.0000
hpf,0,0,0,6581.85,-0.0000
hpf,0,0,0,6814.27,-0.0000
hpf,0,0,0,7054.90,-0.0000
hpf,0,0,0,7304.03,-0.0000
hpf,0,0,0,7561.95,-0.0000
hpf,0,0,0,7828.98,-0.0000
hpf,0,0,0,8105.44,-0.0000
hpf,0,0,0,8391.66,-0.0000
hpf,0,0,0,8687.99,-0.0000
hpf,0,0,0,8994.78,-0.0000
hpf,0,0,0,9312.41,-0.0000
hpf,0,0,0,9641.25,-0.0000
hpf,0,0,0,9981.71,-0.0000
hpf,0,0,0,10334.18,-0.0000
hpf,0,0,0,10699.11,-0.0000
hpf,0,0,0,11076.92,-0.0000
hpf,0,0,0,11468.07,-0.0000
hpf,0,0,0,11873.03,-0.0000
hpf,0,0,0,12292.30,-0.0000
hpf,0,0,0,12726.37,-0.0000
hpf,0,0,0,13175.76,-0.0000
hpf,0,0,0,13641.03,-0.0000
hpf,0,0,0,14122.73,-0.0000
hpf,0,0,0,14621.43,-0.0000
hpf,0,0,0,15137.75,-0.0000
hpf,0,0,0,15672.30,-0.0000
hpf,0,0,0,16225.72,-0.0000
hpf,0,0,0,16798.69,-0.0000
hpf,0,0,0,17391.89,-0.0000
hpf,0,0,0,18006.04,-0.0000
hpf,0,0,0,18641.88,-0.0000
hpf,0,0,0,19300.16,-0.0000
hpf,0,0,0,19981.70,-0.0000
hpf,0,0,0,20687.30,-0.0000
hpf,0,0,0,21417.81,-0.0000
hpf,0,0,0,22174.13,-0.0000
hpf,0,0,0,22957.15,-0.0000
hpf,0,0,0,23767.82,-0.0000
hpf,0,0,0,24607.11,-0.0000
hpf,0,0,0,25476.05,-0.0000
hpf,0,0,0,26375.67,-0.0000
hpf,0,0,0,27307.05,-0.0000
hpf,0,0,0,28271.33,-0.0000
hpf,0,0,0,29269.65,-0.0000
hpf,0,0,0,30303.23,-0.0000
hpf,0,0,0,31373.31,-0.0000
hpf,0,0,0,32481.17,-0.0000
hpf,0,0,0,33628.16,-0.0000
hpf,0,0,0,34815.65,-0.0000
hpf,0,0,0,36045.07,-0.0000
hpf,0,0,0,37317.90,-0.0000
hpf,0,0,0,38635.68,-0.0000
hpf,0,0,0,40000.00,-0.0000
hpf,50,0,0,10.00,-17.0755
hpf,50,0,0,10.35,-16.7802
hpf,50,0,0,10.72,-16.4853
hpf,50,0,0,11.10,-16.1909
hpf,50,0,0,11.49,-15.8970
hpf,50,0,0,11.89,-15.6036
hpf,50,0,0,12.31,-15.3107
hpf,50,0,0,12.75,-15.0185
hpf,50,0,0,13.20,-14.7269
hpf,50,0,0,13.67,-14.4359
hpf,50,0,0,14.15,-14.1457
hpf,50,0,0,14.65,-13.8563
hpf,50,0,0,15.17,-13.5677
hpf,50,0,0,15.70,-13.2800
hpf,50,0,0,16.26,-12.9932
hpf,50,0,0,16.83,-12.7074
hpf,50,0,0,17.42,-12.4227
hpf,50,0,0,18.04,-12.1391
hpf,50,0,0,18.68,-11.8567
hpf,50,0,0,19.34,-11.5756
hpf,50,0,0,20.02,-11.2958
hpf,50,0,0,20.73,-11.0175
hpf,50,0,0,21.46,-10.7407
hpf,50,0,0,22.21,-10.4655
hpf,50,0,0,23.00,-10.1920
hpf,50,0,0,23.81,-9.9203
hpf,50,0,0,24.65,-9.6506
hpf,50,0,0,25.52,-9.3828
hpf,50,0,0,26.42,-9.1173
hpf,50,0,0,27.36,-8.8539
hpf,50,0,0,28.32,-8.5929
hpf,50,0,0,29.32,-8.3344
hpf,50,0,0,30.36,-8.0786
hpf,50,0,0,31.43,-7.8255
hpf,50,0,0,32.54,-7.5752
hpf,50,0,0,33.69,-7.3280
hpf,50,0,0,34.88,-7.0840
hpf,50,0,0,36.11,-6.8432
hpf,50,0,0,37.39,-6.6059
hpf,50,0,0,38.71,-6.3721
hpf,50,0,0,40.07,-6.1420
hpf,50,0,0,41.49,-5.9158
hpf,50,0,0,42.95,-5.6936
hpf,50,0,0,44.47,-5.4755
hpf,50,0,0,46.04,-5.2617
hpf,50,0,0,47.67,-5.0522
hpf,50,0,0,49.35,-4.8472
hpf,50,0,0,51.09,-4.6469
hpf,50,0,0,52.90,-4.4512
hpf,50,0,0,54.76,-4.2604
hpf,50,0,0,56.70,-4.0744
hpf,50,0,0,58.70,-3.8934
hpf,50,0,0,60.77,-3.7175
hpf,50,0,0,62.92,-3.5467
hpf,50,0,0,65.14,-3.3811
hpf,50,0,0,67.44,-3.2207
hpf,50,0,0,69.82,-3.0654
hpf,50,0,0,72.29,-2.9154
hpf,50,0,0,74.84,-2.7706
hpf,50,0,0,77.48,-2.6311
hpf,50,0,0,80.22,-2.4967
hpf,50,0,0,83.05,-2.3675
hpf,50,0,0,85.99,-2.2434
hpf,50,0,0,89.02,-2.1243
hpf,50,0,0,92.17,-2.0101
hpf,50,0,0,95.42,-1.9009
hpf,50,0,0,98.79,-1.7964
hpf,50,0,0,102.28,-1.6966
hpf,50,0,0,105.89,-1.6014
hpf,50,0,0,109.63,-1.5107
hpf,50,0,0,113.50,-1.4242
hpf,50,0,0,117.51,-1.3421
hpf,50,0,0,121.66,-1.2639
hpf,50,0,0,125.95,-1.1898
hpf,50,0,0,130.40,-1.1194
hpf,50,0,0,135.01,-1.0528
hpf,50,0,0,139.77,-0.9896
hpf,50,0,0,144.71,-0.9299
hpf,50,0,0,149.82,-0.8734
hpf,50,0,0,155.11,-0.8200
hpf,50,0,0,160.59,-0.7696
hpf,50,0,0,166.26,-0.7221
hpf,50,0,0,172.13,-0.6772
hpf,50,0,0,178.21,-0.6350
hpf,50,0,0,184.50,-0.5952
hpf,50,0,0,191.01,-0.5577
hpf,50,0,0,197.76,-0.5225
hpf,50,0,0,204.74,-0.4893
hpf,50,0,0,211.97,-0.4582
hpf,50,0,0,219.46,-0.4289
hpf,50,0,0,227.21,-0.4015
hpf,50,0,0,235.23,-0.3757
hpf,50,0,0,243.54,-0.3515
hpf,50,0,0,252.14,-0.3288
hpf,50,0,0,261.04,-0.3075
hpf,50,0,0,270.26,-0.2876
hpf,50,0,0,279.80,-0.2689
hpf,50,0,0,289.68,-0.2513
hpf,50,0,0,299.91,-0.2349
hpf,50,0,0,310.50,-0.2196
hpf,50,0,0,321.47,-0.2052
hpf,50,0,0,332.82,-0.1917
hpf,50,0,0,344.57,-0.1791
hpf,50,0,0,356.74,-0.1674
hpf,50,0,0,369.34,-0.1563
hpf,50,0,0,382.38,-0.1460
hpf,50,0,0,395.88,-0.1364
hpf,50,0,0,409.86,-0.1274
hpf,50,0,0,424.34,-0.1189
hpf,50,0,0,439.32,-0.1111
hpf,50,0,0,454.83,-0.1037
hpf,50,0,0,470.89,-0.0968
hpf,50,0,0,487.52,-0.0904
hpf,50,0,0,504.74,-0.0844
hpf,50,0,0,522.56,-0.0788
hpf,50,0,0,541.01,-0.0736
hpf,50,0,0,560.12,-0.0687
hpf,50,0,0,579.90,-0.0641
hpf,50,0,0,600.38,-0.0598
hpf,50,0,0,621.58,-0.0558
hpf,50,0,0,643.53,-0.0521
hpf,50,0,0,666.25,-0.0486
hpf,50,0,0,689.78,-0.0454
hpf,50,0,0,714.13,-0.0424
hpf,50,0,0,739.35,-0.0395
hpf,50,0,0,765.46,-0.0369
hpf,50,0,0,792.49,-0.0344
hpf,50,0,0,820.47,-0.0321
hpf,50,0,0,849.45,-0.0300
hpf,50,0,0,879.44,-0.0280
hpf,50,0,0,910.50,-0.0261
hpf,50,0,0,942.65,-0.0244
hpf,50,0,0,975.94,-0.0227
hpf,50,0,0,1010.40,-0.0212
hpf,50,0,0,1046.08,-0.0198
hpf,50,0,0,1083.02,-0.0185
hpf,50,0,0,1121.26,-0.0172
hpf,50,0,0,1160.86,-0.0161
hpf,50,0,0,1201.85,-0.0150
hpf,50,0,0,1244.29,-0.0140
hpf,50,0,0,1288.23,-0.0131
hpf,50,0,0,1333.72,-0.0122
hpf,50,0,0,1380.82,-0.0114
hpf,50,0,0,1429.58,-0.0106
hpf,50,0,0,1480.06,-0.0099
hpf,50,0,0,1532.32,-0.0092
hpf,50,0,0,1586.43,-0.0086
hpf,50,0,0,1642.45,-0.0080
hpf,50,0,0,1700.45,-0.0075
hpf,50,0,0,1760.50,-0.0070
hpf,50,0,0,1822.67,-0.0065
hpf,50,0,0,1887.03,-0.0061
hpf,50,0,0,1953.66,-0.0057
hpf,50,0,0,2022.65,-0.0053
hpf,50,0,0,2094.08,-0.0049
hpf,50,0,0,2168.02,-0.0046
hpf,50,0,0,2244.58,-0.0043
hpf,50,0,0,2323.84,-0.0040
hpf,50,0,0,2405.90,-0.0037
hpf,50,0,0,2490.86,-0.0035
hpf,50,0,0,2578.82,-0.0033
hpf,50,0,0,2669.88,-0.0030
hpf,50,0,0,2764.16,-0.0028
hpf,50,0,0,2861.77,-0.0027
hpf,50,0,0,2962.83,-0.0025
hpf,50,0,0,3067.45,-0.0023
hpf,50,0,0,3175.77,-0.0022
hpf,50,0,0,3287.91,-0.0020
hpf,50,0,0,3404.02,-0.0019
hpf,50,0,0,3524.22,-0.0017
hpf,50,0,0,3648.67,-0.0016
hpf,50,0,0,3777.51,-0.0015
hpf,50,0,0,3910.91,-0.0014
hpf,50,0,0,4049.01,-0.0013
hpf,50,0,0,4191.99,-0.0012
hpf,50,0,0,4340.02,-0.0012
hpf,50,0,0,4493.28,-0.0011
hpf,50,0,0,4651.94,-0.0010
hpf,50,0,0,4816.21,-0.0009
hpf,50,0,0,4986.29,-0.0009
hpf,50,0,0,5162.36,-0.0008
hpf,50,0,0,5344.66,-0.0008
hpf,50,0,0,5533.39,-0.0007
hpf,50,0,0,5728.79,-0.0007
hpf,50,0,0,5931.08,-0.0006
hpf,50,0,0,6140.52,-0.0006
hpf,50,0,0,6357.36,-0.0005
hpf,50,0,0,6581.85,-0.0005
hpf,50,0,0,6814.27,-0.0005
hpf,50,0,0,7054.90,-0.0004
hpf,50,0,0,7304.03,-0.0004
hpf,50,0,0,7561.95,-0.0004
hpf,50,0,0,7828.98,-0.0004
hpf,50,0,0,8105.44,-0.0003
hpf,50,0,0,8391.66,-0.0003
hpf,50,0,0,8687.99,-0.0003
hpf,50,0,0,8994.78,-0.0003
hpf,50,0,0,9312.41,-0.0003
hpf,50,0,0,9641.25,-0.0002
hpf,50,0,0,9981.71,-0.0002
hpf,50,0,0,10334.18,-0.0002
hpf,50,0,0,10699.11,-0.0002
hpf,50,0,0,11076.92,-0.0002
hpf,50,0,0,11468.07,-0.0002
hpf,50,0,0,11873.03,-0.0002
hpf,50,0,0,12292.30,-0.0001
hpf,50,0,0,12726.37,-0.0001
hpf,50,0,0,13175.76,-0.0001
hpf,50,0,0,13641.03,-0.0001
